id,year_min,year_max,era_weight,name,text,event_type,effect_money,effect_pollution,effect_fish,effect_support,effect_pollution_growth,choice_a_text,choice_a_effects,choice_b_text,choice_b_effects,choice_c_text,choice_c_effects
cheap_nets,5,15,3,The Net-Weaver's Innovation,"The fishing guilds have developed new netting techniques that promise greater catches, but these synthetic materials persist in the currents",auto,12,8,-5,0,0.0,,,,,,
mePhone_craze,20,30,2,The Surface-Dweller's Obsession,"A new communication device has swept across the floating cities, creating a wave of disposable accessories that clutter the waters",auto,6,6,0,0,0.0,,,,,,
pandemic_surge,35,45,2,The Great Sickness,"A mysterious illness spreads across the floating settlements, forcing increased use of protective gear that pollutes the depths",auto,0,7,-2,-5,0.0,,,,,,
beach_cleanups,55,70,1,The Tide-Walkers' Awakening,"Citizens of the coastal settlements begin organizing to clean their shores, inspiring others to take action for the ocean",auto,0,-3,0,5,0.0,,,,,,
alien_trade,95,110,1,The Deep-Trader's Arrival,"Mysterious traders from distant waters arrive, offering great wealth for fish products but at a terrible cost to the ecosystem",auto,15,10,-6,0,0.0,,,,,,
microplastic_discovery,25,35,2,The Hidden Poison,"The ocean's scholars discover tiny particles of synthetic material within the fish, spreading fear and awareness among the people",auto,0,0,-3,8,0.0,,,,,,
storm_damage,10,25,2,The Great Tempest,"A devastating storm ravages the fishing fleets, scattering their gear across the currents and polluting the depths",auto,-5,5,-2,0,0.0,,,,,,
recycling_breakthrough,40,55,1,The Artisan's Revelation,"The crafters of the floating cities discover new ways to transform waste into useful materials, offering hope for the future",auto,0,-4,0,3,-0.05,,,,,,
fish_migration,60,80,2,The Great Migration,"The warming currents drive the fish schools to new territories, disrupting the traditional fishing grounds and livelihoods",auto,-3,0,-4,0,0.0,,,,,,
plastic_bag_ban,30,50,1,The Bag-Weaver's Decree,"The Council of Depths issues a proclamation banning the use of disposable containers, reducing the flow of waste into the ocean",auto,0,-2,1,4,0.0,,,,,,
ghost_gear_crisis,45,65,2,The Phantom Nets,"Lost fishing gear continues to drift through the currents, trapping and killing marine life for decades to come",auto,0,4,-3,-2,0.0,,,,,,
ocean_acidification,70,90,1,The Souring Depths,"The ocean's chemistry begins to change, making the waters more acidic and hostile to marine life",auto,0,0,-5,0,0.0,,,,,,
fishing_gear_crisis,10,30,2,The Storm's Wrath,"A devastating tempest has scattered the fishing guilds' gear across the currents. The guilds demand compensation, while the Tide-Walkers call for stricter regulations to prevent future losses.",interactive,0,0,0,0,0.0,"Compensate the fishing guilds immediately","{\"money\": -20, \"support\": 5, \"ocean_toxicity\": 3}","Implement stricter gear regulations","{\"money\": -10, \"support\": -5, \"ocean_toxicity\": -2}","Let the currents decide","{\"support\": -10, \"ocean_toxicity\": 5}"
microplastic_scare,25,40,2,Microplastics Found in Local Fish,"Scientists have discovered microplastics in fish caught for local consumption. The public is panicking about food safety, and the fishing industry is facing a crisis.",interactive,0,0,0,0,0.0,"Ban fishing in affected areas","{\"money\": -15, \"fish_health\": 5, \"support\": 10, \"ocean_toxicity\": -2}","Launch public awareness campaign","{\"money\": -5, \"support\": 8, \"ocean_toxicity\": -1}","Downplay the findings","{\"support\": -15, \"money\": 5, \"fish_health\": -3}"
cleanup_protest,40,60,1,Cleanup Operation Faces Opposition,"A major ocean cleanup operation is being opposed by local communities who fear it will disrupt fishing and tourism. The cleanup could remove 80% of macroplastics but has significant costs.",interactive,0,0,0,0,0.0,"Proceed with full cleanup","{\"money\": -30, \"ocean_toxicity\": -15, \"support\": -5}","Scale back cleanup","{\"money\": -15, \"ocean_toxicity\": -8, \"support\": 2}","Cancel cleanup","{\"support\": 5, \"ocean_toxicity\": 3}"
fishing_quota_debate,50,80,2,Fishing Quotas Under Review,"The fishing industry is pushing for increased quotas to meet growing demand, while environmental groups want stricter limits to protect fish populations.",interactive,0,0,0,0,0.0,"Increase quotas","{\"money\": 20, \"fish_health\": -8, \"ocean_toxicity\": 5, \"support\": -3}","Maintain current quotas","{\"support\": 2, \"fish_health\": 2}","Reduce quotas","{\"money\": -10, \"fish_health\": 8, \"ocean_toxicity\": -3, \"support\": 5}"
plastic_tax_riots,30,50,1,Plastic Tax Causes Public Unrest,"A new plastic tax has been implemented to reduce consumption, but it's causing widespread protests from businesses and consumers who can't afford the increased costs.",interactive,0,0,0,0,0.0,"Repeal the tax","{\"support\": 15, \"money\": 5, \"ocean_toxicity\": 4}","Keep the tax","{\"support\": -10, \"ocean_toxicity\": -3, \"money\": 8}","Modify the tax","{\"support\": 2, \"ocean_toxicity\": -1, \"money\": 2}"
recycling_failure,20,40,2,Recycling Program Fails,"The expensive recycling infrastructure you invested in has failed to process most plastics effectively. Citizens are losing faith in environmental programs.",interactive,0,0,0,0,0.0,"Invest more in recycling","{\"money\": -25, \"support\": -5, \"ocean_toxicity\": -2}","Switch to incineration","{\"money\": -10, \"support\": 3, \"ocean_toxicity\": 2}","Abandon the program","{\"support\": -8, \"money\": 5, \"ocean_toxicity\": 2}"
plastic_revolution,0,5,3,The Synthetic Revolution,"The floating cities embrace a new wonder material that never degrades - perfect for all uses but unknown consequences",auto,8,12,-2,0,0.1,,,,,,
disposable_culture,5,15,2,The Age of Convenience,"Single-use items become the norm across the floating settlements, promising convenience but creating endless waste",auto,5,8,-1,0,0.05,,,,,,
great_pacific_discovery,25,35,1,The Vortex Revealed,"Ocean scholars discover a massive accumulation of waste in the northern currents - a swirling vortex of synthetic materials",auto,0,0,-2,10,0.0,,,,,,
microplastic_awakening,30,40,2,The Invisible Threat,"Tiny particles of synthetic material are found throughout the food chain, revealing the true scope of the pollution crisis",auto,0,0,-3,8,0.0,,,,,,
oil_crisis_plastics,40,50,1,The Black Tide's End,"The source of synthetic materials becomes scarce, forcing the floating cities to find alternatives or face economic collapse",auto,-10,0,0,0,0.0,,,,,,
recycling_boom,45,55,2,The Artisan's Renaissance,"A new generation of crafters perfects the art of transforming waste into useful materials, offering hope for the future",auto,0,-6,0,5,-0.1,,,,,,
